hissekodu,Symbol,symbol
A1CAP,A1CAP.IS,A1CAP.IS
A1YEN,A1YEN.IS,A1YEN.IS
ACSEL,ACSEL.IS,ACSEL.IS
ADEL,ADEL.IS,ADEL.IS
ADESE,ADESE.IS,ADESE.IS
ADGYO,ADGYO.IS,ADGYO.IS
AEFES,AEFES.IS,AEFES.IS
AFYON,AFYON.IS,AFYON.IS
AGESA,AGESA.IS,AGESA.IS
AGHOL,AGHOL.IS,AGHOL.IS
AGROT,AGROT.IS,AGROT.IS
AGYO,AGYO.IS,AGYO.IS
AHGAZ,AHGAZ.IS,AHGAZ.IS
AHSGY,AHSGY.IS,AHSGY.IS
AKBNK,AKBNK.IS,AKBNK.IS
AKCNS,AKCNS.IS,AKCNS.IS
AKENR,AKENR.IS,AKENR.IS
AKFGY,AKFGY.IS,AKFGY.IS
AKFIS,AKFIS.IS,AKFIS.IS
AKFYE,AKFYE.IS,AKFYE.IS
AKGRT,AKGRT.IS,AKGRT.IS
AKMGY,AKMGY.IS,AKMGY.IS
AKSA,AKSA.IS,AKSA.IS
AKSEN,AKSEN.IS,AKSEN.IS
AKSGY,AKSGY.IS,AKSGY.IS
AKSUE,AKSUE.IS,AKSUE.IS
AKYHO,AKYHO.IS,AKYHO.IS
ALARK,ALARK.IS,ALARK.IS
ALBRK,ALBRK.IS,ALBRK.IS
ALCAR,ALCAR.IS,ALCAR.IS
ALCTL,ALCTL.IS,ALCTL.IS
ALFAS,ALFAS.IS,ALFAS.IS
ALGYO,ALGYO.IS,ALGYO.IS
ALKA,ALKA.IS,ALKA.IS
ALKIM,ALKIM.IS,ALKIM.IS
ALKLC,ALKLC.IS,ALKLC.IS
ALTNY,ALTNY.IS,ALTNY.IS
ALVES,ALVES.IS,ALVES.IS
ANELE,ANELE.IS,ANELE.IS
ANGEN,ANGEN.IS,ANGEN.IS
ANHYT,ANHYT.IS,ANHYT.IS
ANSGR,ANSGR.IS,ANSGR.IS
ARASE,ARASE.IS,ARASE.IS
ARCLK,ARCLK.IS,ARCLK.IS
ARDYZ,ARDYZ.IS,ARDYZ.IS
ARENA,ARENA.IS,ARENA.IS
ARMGD,ARMGD.IS,ARMGD.IS
ARSAN,ARSAN.IS,ARSAN.IS
ARTMS,ARTMS.IS,ARTMS.IS
ARZUM,ARZUM.IS,ARZUM.IS
ASELS,ASELS.IS,ASELS.IS
ASGYO,ASGYO.IS,ASGYO.IS
ASTOR,ASTOR.IS,ASTOR.IS
ASUZU,ASUZU.IS,ASUZU.IS
ATAGY,ATAGY.IS,ATAGY.IS
ATAKP,ATAKP.IS,ATAKP.IS
ATATP,ATATP.IS,ATATP.IS
ATLAS,ATLAS.IS,ATLAS.IS
AVGYO,AVGYO.IS,AVGYO.IS
AVHOL,AVHOL.IS,AVHOL.IS
AVOD,AVOD.IS,AVOD.IS
AVPGY,AVPGY.IS,AVPGY.IS
AVTUR,AVTUR.IS,AVTUR.IS
AYCES,AYCES.IS,AYCES.IS
AYDEM,AYDEM.IS,AYDEM.IS
AYEN,AYEN.IS,AYEN.IS
AYES,AYES.IS,AYES.IS
AYGAZ,AYGAZ.IS,AYGAZ.IS
AZTEK,AZTEK.IS,AZTEK.IS
BAGFS,BAGFS.IS,BAGFS.IS
BAHKM,BAHKM.IS,BAHKM.IS
BAKAB,BAKAB.IS,BAKAB.IS
BALAT,BALAT.IS,BALAT.IS
BALSU,BALSU.IS,BALSU.IS
BANVT,BANVT.IS,BANVT.IS
BARMA,BARMA.IS,BARMA.IS
BASCM,BASCM.IS,BASCM.IS
BASGZ,BASGZ.IS,BASGZ.IS
BAYRK,BAYRK.IS,BAYRK.IS
BEGYO,BEGYO.IS,BEGYO.IS
BERA,BERA.IS,BERA.IS
BESLR,BESLR.IS,BESLR.IS
BEYAZ,BEYAZ.IS,BEYAZ.IS
BFREN,BFREN.IS,BFREN.IS
BIENY,BIENY.IS,BIENY.IS
